Fecha,Producto,Cantidad,Precio Unitario,Total
2024-03-15,Producto C,6,15.67,94.02
2024-01-20,Producto C,12,81.56,978.72
2024-03-13,Producto E,13,12.97,168.61
2024-01-09,Producto B,15,30.13,451.95
2024-03-08,Producto D,19,58.43,1110.17
2024-01-15,Producto D,17,42.72,726.24
2024-04-01,Producto C,1,71.22,71.22
2024-01-20,Producto C,18,20.22,363.96
2024-02-26,Producto D,5,28.88,144.4
2024-01-01,Producto C,10,99.36,993.6
2024-03-15,Producto B,7,35.58,249.06
2024-02-01,Producto D,2,33.03,66.06
2024-02-13,Producto A,4,69.85,279.4
2024-01-23,Producto A,7,64.05,448.34999999999997
2024-02-05,Producto C,4,94.55,378.2
2024-01-04,Producto C,18,76.9,1384.2
2024-04-09,Producto B,9,88.42,795.78
2024-02-11,Producto E,17,56.73,964.41
2024-03-15,Producto A,18,19.92,358.56000000000006
2024-02-16,Producto E,4,58.14,232.56
2024-01-05,Producto B,17,75.79,1288.43
2024-03-06,Producto A,7,32.38,226.66000000000003
2024-03-25,Producto B,13,65.06,845.78
2024-04-01,Producto C,10,82.06,820.6
2024-03-17,Producto B,5,87.26,436.3
2024-03-10,Producto E,10,26.64,266.4
2024-03-18,Producto C,17,77.27,1313.59
2024-02-26,Producto E,9,84.48,760.32
2024-02-19,Producto C,6,66.19,397.14
2024-02-26,Producto C,8,77.29,618.32
2024-03-29,Producto B,12,75.06,900.72
2024-02-24,Producto A,10,99.07,990.6999999999999
2024-03-17,Producto D,19,47.89,909.91
2024-02-08,Producto A,16,68.79,1100.64
2024-01-25,Producto B,9,29.71,267.39
2024-01-30,Producto A,20,35.53,710.6
2024-03-22,Producto E,2,65.01,130.02
2024-02-03,Producto C,9,42.58,383.21999999999997
2024-03-11,Producto D,3,81.11,243.32999999999998
2024-01-02,Producto E,8,50.59,404.72
2024-04-07,Producto B,12,14.46,173.52
2024-02-23,Producto E,1,76.99,76.99
2024-03-27,Producto B,3,62.06,186.18
2024-03-18,Producto E,8,44.69,357.52
2024-03-17,Producto D,6,77.84,467.04
2024-03-25,Producto D,13,48.04,624.52
2024-02-28,Producto C,8,58.1,464.8
2024-04-07,Producto C,19,96.8,1839.2
2024-02-26,Producto C,17,19.88,337.96
2024-02-27,Producto A,20,69.71,1394.1999999999998
2024-02-19,Producto D,17,11.01,187.17
2024-02-15,Producto A,5,81.92,409.6
2024-01-30,Producto B,19,74.35,1412.6499999999999
2024-03-16,Producto C,14,57.27,801.7800000000001
2024-02-17,Producto E,10,63.92,639.2
2024-01-21,Producto C,2,45.61,91.22
2024-03-27,Producto A,3,14.97,44.910000000000004
2024-03-26,Producto E,1,98.01,98.01
2024-01-19,Producto C,18,70.11,1261.98
2024-01-18,Producto D,16,83.51,1336.16
2024-03-26,Producto B,12,70.87,850.44
2024-02-26,Producto E,4,41.34,165.36
2024-01-02,Producto D,19,77.4,1470.6000000000001
2024-02-06,Producto A,11,69.56,765.1600000000001
2024-02-17,Producto E,13,33.08,430.03999999999996
2024-01-24,Producto D,14,81.28,1137.92
2024-01-25,Producto C,14,45.06,630.84
2024-01-18,Producto C,11,18.44,202.84
2024-02-16,Producto E,11,86.11,947.21
2024-01-10,Producto C,3,61.35,184.05
2024-04-03,Producto D,15,29.22,438.29999999999995
2024-03-14,Producto D,2,72.24,144.48
2024-03-18,Producto E,4,27.43,109.72
2024-01-07,Producto D,7,76.99,538.93
2024-01-11,Producto B,19,39.51,750.6899999999999
2024-02-16,Producto C,20,40.31,806.2
2024-04-04,Producto C,7,80.52,563.64
2024-01-23,Producto E,13,63.79,829.27
2024-02-17,Producto A,6,91.09,546.54
2024-02-29,Producto E,8,14.17,113.36
2024-02-17,Producto E,2,40.45,80.9
2024-03-23,Producto E,7,65.33,457.31
2024-02-04,Producto D,3,84.33,252.99
2024-03-31,Producto D,14,91.43,1280.02
2024-03-30,Producto C,19,23.54,447.26
2024-02-23,Producto C,12,81.37,976.44
2024-04-05,Producto C,3,37.36,112.08
2024-01-06,Producto E,18,66.14,1190.52
2024-01-10,Producto D,16,38.74,619.84
2024-02-25,Producto E,3,81.25,243.75
2024-04-07,Producto E,2,69.94,139.88
2024-04-06,Producto E,2,20.11,40.22
2024-01-12,Producto A,19,32.7,621.3000000000001
2024-03-14,Producto D,10,82.91,829.0999999999999
2024-02-15,Producto C,19,68.27,1297.1299999999999
2024-01-10,Producto D,12,37.54,450.48
2024-02-11,Producto A,12,76.27,915.24
2024-02-16,Producto D,18,90.08,1621.44
2024-02-03,Producto B,16,48.72,779.52
2024-03-26,Producto B,2,70.87,141.74
