Fecha,Producto,Cantidad,Precio Unitario,Total
2024-03-08,Producto E,18,26.83,482.93999999999994
2024-01-12,Producto D,13,81.49,1059.37
2024-02-19,Producto D,3,27.5,82.5
2024-02-01,Producto C,16,38.13,610.08
2024-02-29,Producto C,4,31.52,126.08
2024-02-11,Producto D,1,16.2,16.2
2024-01-29,Producto C,19,57.51,1092.69
2024-03-13,Producto B,12,65.43,785.1600000000001
2024-03-29,Producto C,15,61.51,922.65
2024-02-23,Producto A,10,67.39,673.9
2024-01-19,Producto C,15,94.55,1418.25
2024-03-24,Producto A,2,34.17,68.34
2024-03-15,Producto C,16,99.38,1590.08
2024-02-06,Producto A,13,80.12,1041.56
2024-01-12,Producto B,20,61.12,1222.3999999999999
2024-04-05,Producto D,19,15.33,291.27
2024-03-07,Producto A,11,76.84,845.24
2024-03-12,Producto E,7,22.8,159.6
2024-03-10,Producto B,17,15.43,262.31
2024-03-10,Producto B,7,44.64,312.48
2024-04-08,Producto D,16,74.2,1187.2
2024-02-19,Producto C,19,61.81,1174.39
2024-02-18,Producto C,18,97.54,1755.72
2024-03-19,Producto B,8,49.46,395.68
2024-01-23,Producto D,11,38.46,423.06
2024-03-10,Producto D,16,37.74,603.84
2024-02-29,Producto D,3,72.24,216.71999999999997
2024-01-06,Producto B,13,62.93,818.09
2024-01-03,Producto B,10,80.42,804.2
2024-03-25,Producto D,20,27.27,545.4
2024-01-06,Producto A,19,49.72,944.68
2024-01-25,Producto A,18,55.37,996.66
2024-03-04,Producto E,9,68.32,614.8799999999999
2024-01-20,Producto A,17,38.47,653.99
2024-01-20,Producto E,9,16.3,146.70000000000002
2024-02-11,Producto D,6,80.59,483.54
2024-02-20,Producto E,10,69.63,696.3
2024-01-06,Producto D,8,87.45,699.6
2024-01-26,Producto B,20,90.88,1817.6
2024-02-28,Producto C,8,27.81,222.48
2024-03-10,Producto A,17,90.44,1537.48
2024-02-01,Producto C,18,43.81,788.58
2024-04-09,Producto D,2,81.77,163.54
2024-01-18,Producto D,5,17.48,87.4
2024-02-25,Producto A,14,27.99,391.85999999999996
2024-02-25,Producto B,4,71.48,285.92
2024-01-10,Producto C,11,25.51,280.61
2024-03-26,Producto C,13,49.7,646.1
2024-02-28,Producto E,7,72.85,509.94999999999993
2024-01-29,Producto C,2,99.97,199.94
2024-02-17,Producto E,19,47.25,897.75
2024-01-31,Producto D,1,61.33,61.33
2024-02-06,Producto E,14,32.68,457.52
2024-01-08,Producto C,9,97.23,875.07
2024-03-04,Producto A,16,86.05,1376.8
2024-03-06,Producto E,9,51.96,467.64
2024-03-31,Producto D,1,83.44,83.44
2024-04-04,Producto E,16,24.99,399.84
2024-03-10,Producto B,13,58.99,766.87
2024-02-10,Producto B,2,40.67,81.34
2024-04-01,Producto E,4,70.04,280.16
2024-03-20,Producto A,10,80.41,804.0999999999999
2024-01-31,Producto B,15,87.86,1317.9
2024-01-07,Producto B,14,28.16,394.24
2024-03-15,Producto E,20,97.47,1949.4
2024-02-10,Producto B,15,56.65,849.75
2024-02-07,Producto E,1,73.91,73.91
2024-03-31,Producto C,6,76.65,459.90000000000003
2024-03-29,Producto B,18,23.97,431.46
2024-03-03,Producto B,18,43.19,777.42
2024-04-03,Producto C,17,39.3,668.0999999999999
2024-02-28,Producto C,11,40.07,440.77
2024-03-19,Producto B,18,74.14,1334.52
2024-01-12,Producto D,1,93.95,93.95
2024-03-07,Producto A,8,27.54,220.32
2024-04-06,Producto E,13,92.07,1196.9099999999999
2024-04-05,Producto A,4,76.81,307.24
2024-03-17,Producto E,17,49.28,837.76
2024-03-13,Producto C,17,92.23,1567.91
2024-01-12,Producto C,6,39.07,234.42000000000002
2024-04-07,Producto D,14,93.5,1309.0
2024-03-01,Producto B,6,13.84,83.03999999999999
2024-04-03,Producto A,3,89.27,267.81
2024-02-15,Producto A,16,96.58,1545.28
2024-03-12,Producto C,1,73.24,73.24
2024-02-26,Producto D,20,96.38,1927.6
2024-03-12,Producto C,5,56.19,280.95
2024-03-05,Producto B,10,44.65,446.5
2024-01-01,Producto B,4,41.23,164.92
2024-01-20,Producto E,1,72.43,72.43
2024-01-21,Producto A,10,83.7,837.0
2024-02-28,Producto C,15,10.69,160.35
2024-01-08,Producto B,17,90.59,1540.03
2024-01-12,Producto D,6,67.77,406.62
2024-02-20,Producto D,2,64.73,129.46
2024-02-23,Producto C,15,31.73,475.95
2024-03-09,Producto B,8,76.22,609.76
2024-02-14,Producto E,8,61.46,491.68
2024-03-27,Producto E,8,61.9,495.2
2024-02-06,Producto C,5,27.31,136.54999999999998
